A&A,Astronomy And Astrophysics
ERAB,Energy Research Advisory Board
ERACF,Environmental Radiation Ambient Monitoring System
ERB,Earth Radiation Budget
ERBE,Earth Radiation Budget Experiment
ERBI,Earth Radiation Budget Instrument
ERBS,Earth Radiation Budget Satellite
ERC,Equatorial Ring Current
ERC,Environmental Research Center
ERDA,Energy Research And Development Administration
ERDA,Energy Research And Development Administration
ERDC,Exploratory Research And Development Center
ERDIP,Experimental R & D Incentives Program
ERG,External Review Group
ERICA,Experiment On Rapidly Intensifying Cyclones And Anticyclones
ERICA,Experiment On Rapidly Intensifying Cyclones In The Atlantic
ERL,Electromagnetic Radiation Laboratory
ERL,Environmental Research Laboratory
EROC,Ecological Rates Of Change
EROS,Earth Resources Observation System
ERS,Earth Remote-Sensing Satellite
ERS,Element Requirements Specification
ERS,Earth Resources Satellite
ERS-1,European Remote Sensing Satellite 1
ERS-2,European Remote Sensing
ERSDAC,Earth Resources Satellite Data Analysis Center
ERS-II,European Research Satellite
ERT,Environmental Research And Technology
ERTAQ,ERT Air Quality
ERTD,Environmental Research & Technology Division
ERTS,Earth Resources Technology Satellite
ESA,European Space Agency
ESA,Endangered Species Act
ESA,Exploratory Shaft Facility
ESA,Engineering Support Activity
ESAD,Earth Science And Applications Division
ESC,Engineering Support Center
ESCAP,Economic Social Commission For Asia And The Pacific
ESCP,Earth Sciences Curriculum Project
ESD,Environmental Satellite Data
ESD,Electronic System Division
ESD,Employment Security Department
ESDD,Earth Science Data Directory
ESDI,Enhanced Samll Device Interface
ESDIM,Earth System Data And Information Management
ESDIM,Environmental Science Data Integration And Management
ESECA,Energy Supply & Environmental Coordination Act
ESF,European Science Foundation
ESFU,Enhanced Standard Format Unit
ESG,Empirical Study Group
ESHP,Effective Shaft Horse Power
ESI,Earth Systems Institute
ESID,EOSDIS Systems Interface Document
ESIG,Environmental And Societal Impacts Group
ESIP,Earth System Information Partners Federation
ESIS,Earth Science Information System
ESIS,ESA Space Information Systems
ESJWG,Earth Science Joint Working Group
ESL,Earth Sciences Laboratories
ESM,Earth Systems Model
ESMF,Earth System Model Framework
ESML,Earth Science Markup Language
ESMR,Electronically Scanning Microwave Radiometer
ESN,ECS Science Network
ESNET,Energy Sciences Network
ESO,European Southern Observatory
ESPIRIT,European Strategic Programme For R&D In Information Technology
ESR,Electron Spin Resonance
ESRO,European Space Research Organization
ESS,Earth System Science
ESS,Engineering Equipment Surveillance System
ESSA,Environmental Science Services Administration
ESSC,Earth System Science Committee
ESSC,Environmental Science Services Administration
ESSCO,Electronic Space Systems Corporation
ESSCO,Environmental Science & Services Corporation
ESSIS,Earth System Science Information System
ESSL,Earth & Sun Systems Laboratory (formerly ATD)
ESTAR,Electrically Steered Thinned Array Radiometer
ESTEC,European Space Research And Space Technology Centre
ESTP,Exploratory Shaft Test Plan
ESTSC,Energy Science And Technology Software Center
ESU,Electrostatic Unit
ET,Evapotranspiration
ETA,A Vendor Of Supercomputers And Associated Software
ETA,A Hydrostatic Model That Employs The Eta Vertical Coordinate
ETA,A Subsidiary Of Control Data Corporation That Manufactures Supercomputers
ETAG,Educational Technologies Assistance Group
ETC,Estimate Time To Complete
ETC,Engineering Training Course
ETCE,Effects Of Tropical Convection Experiment
ETCO,External Tanks Corporation
ETE,Estimated Time En Route
ETEC,Energy Technology Engineering Center
ETFSP,Enhanced Technology Flight Segment Prototype
ETG,Eclipse Task Group
ETH,Eidgenossische Technische Hochschule
ETIP,Experimental Technology Incentive Program
ETL,Environmental Technology Laboratory
ETL,Energy Technology Programs
ETM,Enhanced Thematic Mapper
ETR,Element Test Review
ETS,Emergency Transponder System
EU,European Union
EUCLID,European Cooperation For The Long Term In Defense
EUCREX,European Cirrus Research Experimetn
EUMAC,Part Of EUROTRAC
EUMETSAT,European Meteorological Satellite
EURAM,European Research In Advanced Materials
EURATOM,European Atomic Energy Agency/Community
EUREKA,European Research Cooperation Agency
EUROTRAC,European Experiment For Transporting And Transforming Environmentally Relevant Trace Construction In The Troposphere
EUV,Extreme Ultraviolet
EV,Earned Value
EVE,Equilibrium Vegetation Ecology
EWE,Equatorial Winds Experiment
EWF,Early Warning Form
EXABYTE,Boulder-based Computer Company
EXAMETNET,Experimental Inter-American Meteorological Rocket Network
EXCEL,Experimental Chloride Extraction Line
EXEC,Executable Program
EXOSAT,European X-ray Observatory Satellite
EXPRESSO,EXPeriment For REgional Sources And Sinks Of Oxidants
EXPRS,EXpendable Probe Receiver System
F,Fahrenheit
F,Femto
F,Frequency
F,Forad
F&A,Finance And Administration
F/P-INT,Fabry-Perot Interferometer
F/P-INT,Fabry Perot Interferometer
F77,FORTRAN77
FAA,Federal Aviation Administration
FAC,Facilities Advisory Council
FAC,Friday Afternoon Club
FACA,Federal Advisory Committee Act
FACE,Florida Area Cirrus Experiment
FACE,Also Known As FACE '75
FAGS,Federation Of Astronomical And Geophysical Services
FAL,Frontier Airline
FAME,Florida Area Mesoscale Experiment
FAME,Formatting And Multiplexing Equipment
FAN,File Array Notation
FAO,Food And Agriculture Organization
FAPS,Fate Of Atmospheric Pollutants Study
FAPS,Freedom Attached Payloads
FAQ,Frequently Asked Questions
FAS,Federation Of American Scientists
FASB,Financial Accounting Standards Board
FASCODE,Fast Atmosphere Signature Code
FASE,Foundation For Advancement In Science And Education
FASINEX,Frontal Air-Sea Interaction Experiment
FASTEX,Fronts Atlantic Storm Track Experiment
FAT,Factory Acceptance Test
FATS,Factory Acceptance Test Specification
FATS,Firearms Training Simulator
FATS,FORTRAN Automatic Timing System
FATS,Forward Area Target Surveillance System
FATS,South African Air Force Tactical Support Command
FB,Blanketing Frequency
FB,Funds Budgeted
FB,Fleischmann Building
FBA,Forecasting By Analogy
FBI,Federal Bureau Of Investigation
FCA,Functional Configuration Audit
FCC,Federal Communications Commission
FCCSET,Federal Coordinating Council On Science
FCM,Federal Coordinator For Meteorological Services And Supporting Research
FCOM,Federal Coordinators Office Of Meteorology
FCST,Federal Council For Science And Technology
FD,Facility Division
FDA,Food And Drug Administration
FDC,Fluid Dynamics Conference
FDCA,Federal Drug And Cosmetics Act
FDDA,Fiber Distributed Data Interface
FDDI,Fiber-distributed Data Interface
FDF,Flight Dynamics Facility
FDM,Full-depth Model
FDMA,Frequency Division Multiple Access
FDT,Fully Developed Turbulence
FE,Front-end
FEMA,Federal Emergency Management Agency
FEOSH,Federal Employee Occupational Safety And Health
FEP,Front End Processor
FEPCA,Federal Environmental Pesticides Control Act
FEPCA,Federal Environmental Pollution Control Act
FERC,Federal Energy Regulatory Commission
FERMILAB,FERMI National Acceleration Laboratory
FEST,Fronts Experiment Systems Test
FET,Field-effect Transistor
FEWS,Follow-on Early Warning System
FFDCA," Federal Food, Drug, And Cosmetic Act (US)  "
FFP,Firm Fixed Price
FFRDCS,Federally Funded Research And Development Centers
FFS,Flight Facilities Survey
FFT,Fast Fourier Transform
FFTF,Fast Flux Test Facility
FFTS,Fast-Fourier Transforms
FGCMS,Fast GC / MS = Fast Gas Chromatography / Mass Spectrometry
FGGE,First GARP Global Experiment
FHSA,Federal Hazardous Substances Act
FHWA,Federal Highway Administration
FIAR,European Aviation Partnership
FICA,Federal Insurance Contributions Act
FICS,Facility Information And Control System
FIFE,First ISLSCP Field Experiment
FIFE II,First ISLSCP Field Experiment II
FIFOLIB,N/A
FIFRA,Federal Insecticide
FILOS,Far Infrared Limb Observing Spectrometer
FIPS,Federal Information Processing Standard
FIRE,First ISLSCP Regional Experiment
FIRE,First ISCCP Radiation Experiment
FIRE,Fast Imaging Ranicon Experiment
FIRE-ACE,First ISCCP International Satellite Cloud Climatology Program
FIRS,Fourier Transform Infrared Sounder
FIS,Financial Information System
FIVRS,Financial Information Variance Reporting System
FL,Foothills Laboratory
FL1,First Flight Model
FL2,Second Flight Model
FLAGE,Flexible Lightweight Agile Guided Experiment
FLAT,Full Look At Turbulent Kinetic Energy
FLD,First Level Destination
FLETC,Federal Law Enforcement Training Center
FLIP,Floating Instrument Platform
FLMPA,Federal Land Management Policy Act
FLOP,Floating Point Operations
FLOPS,Floating Point Operations Per Second
FLOWS,FAA/Lincoln Laboratory Operational Weather Studies
FLP,Relocating Floating Point Interpreter
FLSA,Fair Labor Standards Act
FLTOP,Federal Lease To Ownership Program
FLUIDS,MELPROG Subcode
FM,Frequency Modulation
FMECA,Failure Modes Effects And Critical Analysis
FMFIA,Federal Managers Financial Integrity Act
FMIT,Fusion Materials Irradiation Test Facility
FMLA,Family And Medical Leave Act
FMS,French Meteorological Society
FNAL,Fermi National Accelerator Laboratory
FNC,Federal Networking Council
FNOC,Fleet Numerical Operations Center
FO,Orbital Frequency
FO,Field Office
FOB,Free On Board
FOB,Facilities Operations Branch
FOC,Full Operational Capability
FOCAL,Programme Francais Ocean Et Climat Dans D'Atlantique Equatorial
FODDAS,Four-Dimensional Data Assimilation Study
FOF,Field Observing Faciltilty
FOIA,Freedom Of Information Act
FOLD,Federally Owned LANDSAT Data
FOOTPRINT,Measuring And Modeling The Surface Footprint Of Scalar Fluxes
FORD,Flight Operations Requirements Document
FORGE,Funds For Overseas Research Grants For Education
FORTELL,Not An Acronym
FORTRAN,FORmula TRANslation
FORTRAN 77,N/A
FOS,Family Of Services
FOS,Flight Operations Segment
FOV,Field Of View
FP,Plasma Frequency
FP,Fixed Price Contract
FPA,Focal Plane Assembly
FPA,Federal Pesticide Act
FPD,Facilities Planning And Design
FPD,Flight Projects Directorate
FPI,Fabry-Perot Interferometer
FPMD,Facilities And Property Management Division
FPPS,Flight Plan Processing System
FPS,Field Project Services
FPS,Feet Per Second
FPS,Fast Packet Switch
FPS,Foot-pound Second System Of Measurements
FPS-#,Radar Designation
FR,Full Resolution
FR,Federal Register
FRC,Front Range Consortium
FRC,Federal Radiation Council
FRC,Federal Records Center
FRD,Forecast Research Division
FREON,DuPont Trade Name
FRG,Federal Republic Of Germany
FRMAC,Federal Radiological Monitoring And Assessment Center
FRS,First Repository States
FS,Flight Segment
FSDR,Final System Design Review
FSEC,Florida Solar Energy Center
FSK,Frequency Shift Key(ing)
FSL,Forecast Systems Laboratory
FSS,Facilities Support Services
FSSP,Forward Scattering Spectometer Probe
FST,Field Support Terminal
FSTC,Foreign Science & Technology Center
FT,Fourier Tachometer
FT,Identification For An Aviation Terminal Forecast
FT,Forward-in-time
FTACH,Fourier Tachometer
FTAM,File Transfer Access Management
FTE,Full-time Equivalent
FTE,Full-time Employees
FTFC,Fourier Transform Flow Cytometer
FTIR,Fourier Transformed Infrared
FTOS,FGGE Tropical Observing System
FTP,File Transfer Protocol
FTS,Fourier Transform Spectrometer
FTS,Federal Telecommunications System
FTSC,FSL Technical Steering Committee
FUA,Fuel Use Act
FUN,FL-4 Uniform Network Project
F-V,Fussell-Vesely
FWHM,Full Width
FWPCA,Federal Water Pollution Control Act
FWQC,Federal Water Quality Criteria
FWS,Filter Wedge Spectrometer
FWS,Fish And Wildlife Service
FX,FSL's X-window Workstation
FX-ALPHA,FSL X-window AWIPS-Like Prototype For Hydrometeorological Applications
FY,Fiscal Year
G&A,General And Administrative
G/T,Activity Per Ton
GA,Billion Years Unit
GAARS,Global Atmospheric Aerosol And Radiation Study
GAAS,Gallium Arsenide
GAC,Global Atmospheric Chemistry
GAC,Global Area Coverage
GADMAP,GATE Aircraft Data Management Program
GAGE,Global Atmospheric Gases Experiment
GAGE,Gulf-Stream Atmospheric Gradient Exchange
GAIM,Global Analysis
GAINS,Global Air-ocean IN-situ System
GAL,Galileo
GALA,Geoscience Airborne Laser Altimeter
GALE,Genesis Of Atlantic Lows Experiment
GAMETAG,Global Atmospheric Measurements Experiment On Tropospheric Aerosols And Gases
GAMIT,Not An Acronym
GAMP,Global Atmospheric Measurements Program
GAO,General Accounting Office
GAP,GATE Advisory Panel
GAP,GATE Advisory Panel
GAPEX,Ground-based Atmospheric Profiling Experiment
GAPS,Billions (109) Of Actions Per Second
GARDIAN,GBL Point Defense System
GARP,Global Atmospheric Research Program
GARP,GEMPAK Analysis And Rendering Program
GARP,Global Atmospheric Research Program
GAT,General Aviation Transponder
GATE,Global Atmospheric Research Programme Atlantic Tropical Experiment
GATT,General Agreement On Tariffs And Trade
GAU,General Accounting Unit
GAW,Global Atmospheric Watch
GB,Gigabyte
GB,Gigabits
GBDS,GARP Basic Data Set
GBPS,Gigabity (109) Per Second
GBYTE,Gigabyte (109)
GC,Gas Chromatograph
GCA,Geophysics Corporation Of America
GC-AED,Gas Chromatography-Atomic Emission Detection
GCCDF,Generic Control Center Development Facility
GCCM,Global Carbone Cycle Modeling
GCDIS,Global Change Data And Information System
GCE,Part Of EUROTRAC
GCEC,Global Change And Ecological Complexity
GCI,Global Change Institute
GCIP,GEWEX Continental-Scale International Project
GCM,General Circulation Model
GCM,Global Change Model
GCM,General Circulation Model
GCMC,Global Climate Modeling Group
GCMG,Global Climate Modeling Group
GCMG,Global Climate Modeling Group
GCOS,Global Climate Observing System
GCP,Global Chemistry Program
GCP,Global Change Program
GCP,GEWEX Continental-Scale Project
GCRP,Global Change Research Program
GCSS,GWEX Cloud Systems Studies
GCTE,Global Change And Terrestrial Ecosystems
GCTE,Global Change And Terrestrial Ecosystems
GCTM,Global Chemical Transport Model
GDAS,Global Data Assimilation System
GDC,GARP Data Center
GDP,GARP Data Processing
GDP,Ground Data Processor
GDP,Gross Domestic Product
GDP,Government Development Platforms
GDPS,Global Data Processing System
GDR,Geophysical Data Record
GDS,Global Dynamics Section
GDS,GeoMet Data Services
GED,Global Ecosystem Dynamics
GEF,Global Environmental Facility
GEIA,Global Emissions Inventory Activity
GEISA,Management And Study Of Atmospheric Spectroscopic Information
GEM,Global Environmental Multiscale Model
GEM,Geospace Environment Modeling Program
GEMINI,General Mesonetwork Interpolation Interface
GEMPAK,General Meteorological Package
GEMS,Global Environment Monitoring System
GENESIS,Global Environmental And Ecological Simulation Of Interactive Systems
GENPRO,General Processor
GEO,Geosciences Directorate
GEO 2000,National Science Foundation's Geosciences Beyond 2000
GEOS,Geostationary Earth-Orbiting Satellite
GEOSAT,Geodesy Satellite
GEOSECS,Geochemical Ocean Sections
GEOSIF,Geoscientific Information Framework
GEU,Gyro Electronics Unit
GEWEX,Global Energy And Water Cycle Experiment
GEWEX,Continental-Scale Project
GF,Gigaflops
GFDL,Geophysical Fluid Dynamics Laboratory
GFE,Government Furnished Equipment
GFLOPS,Gigaflops
GFP,Government Furnished Property
GFS,Global Forecast System
GFY,Government Fiscal Year
GGEM,Gravity Gradiometer Explore Mission
GGI,GPS Geoscience Instrument
GGNS,Grand Gulf Nuclear Station
GGS,Global Geospace Science Program
GGS,Global Geospace Study
GHB,Goddard Handbook
GHOST,Global Horizontal Sounding Technique
GHRS,Goddard High Resolution Spectograph
GHZ,Giga Hertz
GIF,Graphics Interchange Format
GIIS,General Instrument Interface Specification
GIMMS,Global Inventory And Monitoring And Modeling Study
GIMPAP,GOES Product Assurance Plan
GINI,GOES Ingest & NOAAPORT Interface
GIPS,Billions Of Instructions Per Second
GIS,Geographic Information Systems
GISMOS,Global Incoherent Scatter Measurements Of Substorms
GISP,Greeland Ice Sheet Program
GISS,Goddard Institute For Space Studies
